IBLOCK_ID;NAME;CODE;XML_ID;SECTION_XML_ID;SORT;ARTICLE;BASE_UNIT;OBEMJASCHIKA;VODNOMMESTE;MESTSHTUK;KOLICHESTVOZALPOV;KALIBR;VREMJARABOTY;BREND;SHTRIHKODSAJT;KOLVOOPT;VYSOTAPOLETA;POLNNAIMENOVANIESAJT;DETAIL_TEXT;RASPRODAZHA;NOVINKA;KOLICHESTVOVPERVOMRAZRJADE;KOLICHESTVOVOVTOROMRAZRJADE;NAIMENOVANIEPERVOGORAZRJADA;NAIMENOVANIEVTOROGORAZRJADA;KOLICHESTVOVTRETEMRAZRJADE;NAIMENOVANIETRETEGORAZRJADA;MINIMALNAJATORGEDINICAVOPTENAIMENOVANIE;MINIMALNAJATORGEDINICAVROZNICENAIMENOVANIE;VESMINTORG;OBEMMINTORG;HITPRODAZH;NEOTOBRAZHATNASAJTE;SHIRINASAJTROZNICA;VYSOTASAJTROZNICA;DLINASAJTROZNICA;SHIRINASAJTROZNICANAIMENOVANIE;VYSOTASAJTROZNICANAIMENOVANIE;DLINASAJTROZNICANAIMENOVANIE;DIAMETRSAJTROZNICANAIMENOVANIE;TOLSCHINASAJTROZNICA;TOLSCHINASAJTROZNICANAIMENOVANIE;ROZNICHNYJVES;ROZNICHNYJOBEM;NAIMENOVANIEVES;NAIMENOVANIEOBEM;DIAMETRSAJTROZNICA;ROZNICAAKCIJA;NOVINKIROZNICA;HITYPRODAZHROZNICA;SHIRINASAJTOPT;VYSOTASAJTOPT;DLINASAJTOPT;SHIRINASAJTOPTNAIMENOVANIE;VYSOTASAJTOPTNAIMENOVANIE;DLINASAJTOPTNAIMENOVANIE;TOLSCHINASAJTOPT;TOLSCHINASAJTOPTNAIMENOVANIE;OPTVES;OPTOBEM;NAIMENOVANIEVESOPT;NAIMENOVANIEOBEMOPT;DIAMETRSAJTOPT;DIAMETRSAJTOPTNAIMENOVANIE;PROCENTSKIDKI;PROF
B658816D-ECD0-44A2-AC83-AFB566EEA983;Дембельский (1,25"х13) 1/10/1;dembelskij__125h13__1101;В9059;Р8632;В9059;А7108---;796;0.052;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Демонстрация (1"х100) 1/2/1;demonstracija__1h100__121;1234588;СР9380;1234588;01106;796;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;День независимости 1/24/6;den_nezavisimosti_1246;182051;СР8643;182051;А5035*---;796;0.0319;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Деньги на ветер (1"х25) 1/8/1;dengi_na_veter__1h25__181;СР8787;Р8632;СР8787;А7105---;796;0.0414;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Деньги на ветер (1"х25) 1/8/1;dengi_na_veter__1h25__181;СР99768;СР99676;СР99768;А7105;796;0.041;0;0;25;1;40;Легенда;4650099541296;1680;25;Батарея салютов Деньги на ветер;Красные звезды раскрываются золотыми хризантемами, переходящими в красные, в зеленом мерцающем пионе, зеленые звезды раскрываются золотыми мерцающими стрелами в зеленом мерцающем пионе, синие звезды раскрываются золотыми хризантемами с синими звездами на острие в зеленом мерцании, красные звезды раскрываются золотыми кокосами в зеленом мерцании, в финале одновременный залп зеленых звезд раскрывается шипящими серебряными стрелами в красном мерцании с треском.;0;0;1;1;штука;упаковка;8;коробка;штука;штука;2.15;0.005;0;1;15.5;17.5;15.5;см;см;см;;0;;2150;0.004204;гр;м3;0;0;0;0;15.5;17.5;15.5;см;см;см;0;;2150;0.004204;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Джин 1/36/1;dzhin_1361;СР9552;СР8629;СР9552;А4040---;796;0.049;0;0;0;0;35;Легенда;4650099540367;0;3;Фонтан Джин;Поток серебряных искр с зелеными и красными звездами, искры, разрывающиеся вспышками хризантем.;1;0;1;1;штука;упаковка;36;коробка;штука;штука;0.25;0.0012;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Джин 1/36/1;dzhin_1361;СР99796;СР99789;СР99796;А4040;796;0.043;0;0;1;0;35;Легенда;4650099540367;1;3;Фонтан Джин;Поток серебряных искр с зелеными и красными звездами, искры, разрывающиеся вспышками хризантем.;0;0;1;1;штука;упаковка;36;коробка;штука;штука;0.25;0.0012;1;1;0;17;0;;см;0;см;0;;218;0.002617;гр;м3;7;0;0;0;0;0;17;;;см;0;;218;0.002617;;м3;7;см;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Дикая орхидея (1,25"х100) 1/1/1;dikaja_orhideja__125h100__111;В9230;Р8632;В9230;А7611---;796;0.043;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Диковинка (0,8"х9) 1/48/1;dikovinka__08h9__1481;СР99653;СР99676;СР99653;А7002;796;0.067;48;0;9;0.8;15;Легенда;4650099541920;330;20;Батарея салютов Диковинка;Разноцветные звезды раскрываются пурпурными, зелеными и красными волнами, переходящими в трещащее мерцание, серебрённое мерцание.;0;0;1;1;штука;упаковка;48;коробка;штука;штука;0.61;0.0014;1;1;10;12.5;10;см;см;см;;0;;610;0.00125;гр;м3;0;0;0;1;10;12.5;10;см;см;см;0;;610;0.00125;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Диско (1,25"х25) 1/4/1;disko__125h25__141;СР99737;СР99676;СР99737;А7305;796;0.038;0;0;25;1.25;40;Легенда;4650099541500;2200;30;Батарея салютов Диско;Зеленые и красные звезды раскрываются кокосами переходящими в красное и зеленое мерцание тысячи хризантем.;0;0;1;1;штука;упаковка;4;коробка;штука;штука;3.35;0.0095;0;1;17.5;22.5;17.5;см;см;см;;0;;3350;0.006891;гр;м3;0;0;0;0;17.5;22.5;17.5;см;см;см;0;;3350;0.006891;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Дождик 4-х слойный серебр. 1,6м 1/20/5;dozhdik_4h_slojnyj_serebr._16m_1205;Р9119;Р9238;Р9119;1047;796;0;0;0;0;0;0;Лапландия;0;0;0;Дождик новогодний 150 мм 1.6м;Дождик новогодний прекрасно подходит для украшения: интерьера, декора и новогодних елок. Цвет: серебристый металлик. Дождик новогодний продается по 5 шт. в упаковке. Размеры упаковки: 40 см х 30 см.;0;0;1;5;штука;упаковка;20;коробка;упаковка;;0;0;0;1;0;0;0;;;;;0;;0;0;;;0;0;0;0;15;0;160;см;;см;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Дождик серебристый 75мм.1,6м 1/20/50;dozhdik_serebristyj_75mm.16m_12050;174243;Р9238;174243;1010;796;0;0;0;0;0;0;Лапландия;0;0;0;Дождик новогодний 75 мм  1.6м;Дождик серебристый прекрасно подходит для украшения: новогодних елок, декора и интерьера. Цвет: серебристый металлик. Дождик новогодний продается в удобной упаковке по 50 шт. Упаковка имеет размеры 56 см х 15,5 см;0;0;1;50;штука;упаковка;20;Коробка;упаковка;;0;0;0;1;0;0;0;;;;;0;;0;0;;;0;0;0;0;7.5;0;160;см;;см;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Дождик цветной двусторонний 75мм.1,6м 1/20/50;dozhdik_cvetnoj_dvustoronnij_75mm.16m_12050;174245;Р8573;174245;1011;796;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Дождик цветной односторонний 75мм.1,6м 1/20/50;dozhdik_cvetnoj_odnostoronnij_75mm.16m_12050;174242;6;174242;1009;796;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Домовёнок (0,8"х7) 1/36/2;domovjonok__08h7__1362;186167;Р8632;186167;А7003---;796;0.0642;0;0;7;0.8;20;Легенда;4650099541036;0;20;Батарея салютов Домовёнок;Красные и зеленые волны, золотые мерцающие ивы.;1;0;1;1;штука;упаковка;72;коробка;штука;штука;0.24;0.0007;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Домовёнок (0,8"х7) 1/72/1;domovjonok__08h7__1721;СР99790;СР99676;СР99790;А7003;796;0.052;0;0;7;0.8;20;Легенда;4650099541036;290;20;Батарея салютов Домовёнок;Красные и зеленые волны, золотые мерцающие ивы.;0;0;1;1;штука;упаковка;72;коробка;штука;штука;0.24;0.0007;0;1;7.8;10;7.8;см;см;см;;0;;240;0.000608;гр;м3;0;0;0;0;7.8;10;7.8;см;см;см;0;;240;0.000608;;м3;0;;0;0;
