IBLOCK_ID;XML_ID;QUANTITY;QUANTITY_TRACE;VAT;WEIGHT;CAN_BUY_ZERO;NEGATIVE_AMOUNT_TRACE;MEASURE;LENGTH;WIDTH;HEIGHT;AB6F91A1-69DA-4132-9556-C2565FCD97B4;CURAB6F91A1-69DA-4132-9556-C2565FCD97B4;53279416-7035-435D-9B18-3BA546161988;CUR53279416-7035-435D-9B18-3BA546161988
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба8664;0;Y;20;15000;N;N;796;0;0;0;350;RUB;350;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба99665;149;Y;20;16000;N;N;796;150;368;257;6000;RUB;6292;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;8101;0;Y;20;12120;N;N;796;0;0;0;400;RUB;400;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба9203;0;Y;20;19000;N;N;796;0;0;0;1240;RUB;1240;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба99820;0;Y;20;20000;N;N;796;880;30;38;1180;RUB;590;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;65452454;2323;Y;20;20600;N;N;796;880;30;38;680;RUB;708;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;8205;0;Y;20;13000;N;N;796;0;0;0;67.2;RUB;68;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба8831;0;Y;20;16000;N;N;796;0;0;0;2490;RUB;2490;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба99107;0;Y;20;17000;N;N;796;0;0;0;2050;RUB;2050;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;Т8732;0;Y;20;13000;N;N;796;0;0;0;1500;RUB;1500;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба8824;0;Y;20;23000;N;N;796;0;0;0;1900;RUB;1900;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;182060;0;Y;20;14000;N;N;796;125;120;120;200;RUB;240;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;в357;232;Y;20;17400;N;N;796;200;290;290;6250;RUB;6480;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба8829;0;Y;20;16000;N;N;796;0;0;0;2490;RUB;2490;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба96355;0;Y;20;0;N;N;796;0;0;0;1220;RUB;1220;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба99661;1638;Y;20;26500;N;N;796;150;172;116;1200;RUB;1248;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба99669;307;Y;20;19800;N;N;796;175;395;276;7600;RUB;7920;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба99103;0;Y;20;15900;N;N;796;0;0;0;1800;RUB;1800;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба99557;0;Y;20;0;N;N;796;0;0;0;729.16;RUB;730;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба8841;0;Y;20;23000;N;N;796;250;540;360;14990;RUB;17988;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба99684;41;Y;20;21700;N;N;796;250;540;360;17000;RUB;18900;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба8809;0;Y;20;14000;N;N;796;125;125;102;750;RUB;900;RUB
B658816D-ECD0-44A2-AC83-AFB566EEA983;ба99779;264;Y;20;13500;N;N;796;125;125;102;860;RUB;893;RUB
