IBLOCK_ID;NAME;CODE;XML_ID;SECTION_XML_ID;SORT;ARTICLE;BASE_UNIT;OBEMJASCHIKA;VODNOMMESTE;MESTSHTUK;KOLICHESTVOZALPOV;KALIBR;VREMJARABOTY;BREND;SHTRIHKODSAJT;KOLVOOPT;VYSOTAPOLETA;POLNNAIMENOVANIESAJT;DETAIL_TEXT;RASPRODAZHA;NOVINKA;KOLICHESTVOVPERVOMRAZRJADE;KOLICHESTVOVOVTOROMRAZRJADE;NAIMENOVANIEPERVOGORAZRJADA;NAIMENOVANIEVTOROGORAZRJADA;KOLICHESTVOVTRETEMRAZRJADE;NAIMENOVANIETRETEGORAZRJADA;MINIMALNAJATORGEDINICAVOPTENAIMENOVANIE;MINIMALNAJATORGEDINICAVROZNICENAIMENOVANIE;VESMINTORG;OBEMMINTORG;HITPRODAZH;NEOTOBRAZHATNASAJTE;SHIRINASAJTROZNICA;VYSOTASAJTROZNICA;DLINASAJTROZNICA;SHIRINASAJTROZNICANAIMENOVANIE;VYSOTASAJTROZNICANAIMENOVANIE;DLINASAJTROZNICANAIMENOVANIE;DIAMETRSAJTROZNICANAIMENOVANIE;TOLSCHINASAJTROZNICA;TOLSCHINASAJTROZNICANAIMENOVANIE;ROZNICHNYJVES;ROZNICHNYJOBEM;NAIMENOVANIEVES;NAIMENOVANIEOBEM;DIAMETRSAJTROZNICA;ROZNICAAKCIJA;NOVINKIROZNICA;HITYPRODAZHROZNICA;SHIRINASAJTOPT;VYSOTASAJTOPT;DLINASAJTOPT;SHIRINASAJTOPTNAIMENOVANIE;VYSOTASAJTOPTNAIMENOVANIE;DLINASAJTOPTNAIMENOVANIE;TOLSCHINASAJTOPT;TOLSCHINASAJTOPTNAIMENOVANIE;OPTVES;OPTOBEM;NAIMENOVANIEVESOPT;NAIMENOVANIEOBEMOPT;DIAMETRSAJTOPT;DIAMETRSAJTOPTNAIMENOVANIE;PROCENTSKIDKI;PROF
B658816D-ECD0-44A2-AC83-AFB566EEA983;Пылающая звезда 1/25/1;pylajuschaja_zvezda_1251;СР8664;СР8643;СР8664;А5140*---;796;0.0282;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Пять звезд (1"х99) 1/2/1 (модуль);pjat_zvezd__1h99__121__modul_;СР99665;СР99676;СР99665;А7037;796;0.035;0;0;99;1;80;Легенда;4650099542040;5200;20;Батарея салютов Пять звезд;Красные, зеленые, синие и желтые звезды раскрываются красными, зелеными, синими, пурпурными, желтыми пионами в серебряном мерцании, красные звезды раскрываются красными падающими листьями, зеленые и красные звезды раскрываются красными кокосами в зеленом мерцании и зелеными кокосами в красном мерцании, в финале одновременный залп раскрывается парчовой короной.;0;0;1;1;штука;упаковка;2;коробка;штука;штука;8.25;0.0175;0;1;25.7;15;36.8;см;см;см;;0;;8250;0.014186;гр;м3;0;0;0;0;25.7;15;36.8;см;см;см;0;;8250;0.014186;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Радуга (5*5) 1/4/1;raduga__55__141;8101;Р8180;8101;Р8805;796;0.054;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Разгуляй (1,2"х8) 1/15/2;razguljaj__12h8__1152;СР9203;СР8643;СР9203;А5140---;796;0.0465;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Разгуляй (1,2"х8) 1/15/2;razguljaj__12h8__1152;СР99820;СР99807;СР99820;А5140*;796;0.051;0;0;8;1.2;40;Легенда;4650099540947;1180;30;Римская свеча Разгуляй;Фиолетовые пальмы с треском, золотые мерцающие ивы в синих жемчужинах, тысячи хризантем, парчовые короны.;0;0;1;2;штука;упаковка;15;коробка;упаковка;штука;1.33;0.0034;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Разгуляй (1,2"х8) 1/30/1;razguljaj__12h8__1301;65452454;СР99807;65452454;А5140;796;0.048;0;0;8;1.2;40;Легенда;4650099540947;0;30;Римская свеча Разгуляй;Фиолетовые пальмы с треском, золотые мерцающие ивы в синих жемчужинах, тысячи хризантем, парчовые короны.;0;0;1;1;штука;упаковка;30;коробка;штука;штука;1.33;0.0034;0;1;0;0;96;;;см;см;0;;626;0.004825;гр;м3;4;0;0;0;0;0;96;;;см;0;;626;0.004825;;м3;4;см;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Разноцветные дымы  1/36/4;raznocvetnye_dymy__1364;8205;Р8180;8205;Р8800;796;0.028;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Райский сад (1,25"х25)1/4/1;rajskij_sad__125h25_141;СР8831;Р8632;СР8831;А7315---;796;0.0437;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Ратуша (1"х36) 1/6/1;ratusha__1h36__161;СР99107;СР99092;СР99107;VH100-36-01;796;0.038;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Революция (1,25"х25) 1/2/1 прямой;revoljucija__125h25__121_prjamoj;В8732;Р8632;В8732;А7814---;796;0.019;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Репка (1,25"х19)1/8/1;repka__125h19_181;СР8824;Р8632;СР8824;А7200---;796;0.0768;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Рио-Рио (0,5"х16) 1/48/1;riorio__05h16__1481;182060;Р8632;182060;А7007---;796;0.027;0;0;12;0.8;20;Легенда;4650099541937;0;20;Батарея салютов Зимушка зима;Красные звезды раскрываются красными звездами в серебряном мерцании, зеленые звезды раскрываются зелеными волнами, переходящими в треск, пурпурные звезды раскрываются пурпурными пионами в золотом мерцании.;1;0;1;1;штука;упаковка;36;коробка;штука;штука;0.88;0.0021;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Рио-Рио! (1"х100) 1/2/1;riorio__1h100__121;Т357;Т371;Т357;М7300;796;0.055;0;0;100;1;45;Галактика;4650099542705;5400;25;Батарея салютов Рио-Рио;Красные звезды раскрываются красными георгинами с серебряными и синими жемчужинами, зеленые звезды раскрываются зелеными георгинами с мерцающими синими и красными жемчужинами, пурпурные звезды раскрываются пурпурными георгинами в синих и зеленых жемчужинах, желто-сине-зеленые пионы, зелено-синие пионы, переходящие в трещащее мерцание, красные звезды раскрываются золотыми коронами в красных звездах: зеленые звезды раскрываются коронами в зеленых звездах с красным мерцанием, пурпурные звезды раскрываются коронами в пурпурных жемчужинах с зеленым мерцанием, короны в желтых георгинах с красным мерцанием, в финале одновременный залп серебряных комет раскрывается коронами с синими жемчужинами, переходящими в эффекттысячи хризантем.;0;0;1;1;штука;упаковка;2;коробка;штука;штука;7.5;0.021;0;1;29;20;29;см;см;см;;0;;7500;0.01682;гр;м3;0;1;0;0;29;20;29;см;см;см;29;см;7500;0.01682;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Рог Изобилия (1,25"х25) 1/4/1;rog_izobilija__125h25__141;СР8829;Р8632;СР8829;А7313---;796;0.0437;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Рождественская ночь (1,2х19)  1/6/1;rozhdestvenskaja_noch__12h19___161;СР96355;СР8733;СР96355;D7406;796;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Рождественские каникулы (1"х20) 1/16/1 (модуль);rozhdestvenskie_kanikuly__1h20__1161__modul_;СР99661;СР99676;СР99661;А7025;796;0.055;16;0;20;1;40;Легенда;4650099542002;1040;25;Батарея салютов Рождественские каникулы;Золотые ивы с пурпурными жемчужинами, желтые пионы с трещащим серебряным мерцанием, зеленые волны с синими жемчужинами, в финале одновременный залп раскрывается золотыми мерцающими ивами в красном мерцании.;0;0;1;1;штука;упаковка;16;коробка;штука;штука;1.66;0.0034;1;1;11.6;15;17.2;см;см;см;;0;;1660;0.002993;гр;м3;0;0;0;1;11.6;15;17.2;см;см;см;0;;1660;0.002993;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Рождественские сказки (1,1"х99) 1/2/1 (модуль);rozhdestvenskie_skazki__11h99__121__modul_;СР99669;СР99676;СР99669;А7100;796;0.047;0;0;99;1.1;80;Легенда;4650099542088;6600;25;Батарея салютов Рождественские сказки;Красные звезды раскрываются красными волнами в золотых хризантемах, зеленые звезды раскрываются зелеными волнами в пурпурных пионах, синие звезды раскрываются синими пионами в трещащем серебряном мерцании, красные звезды раскрываются пурпурными пионами в серебряном мерцании, желтые звезды раскрываются желтыми пионами с треском, серебряные рыбки с синими жемчужинами, золотые кокосы с синими жемчужинами и красными ивами, в финале одновременный залп раскрывается золотыми трещащими мерцающими кокосами, переходящими в серебряный треск.;0;0;1;1;штука;упаковка;2;коробка;штука;штука;10.05;0.0235;0;1;27.6;17.5;39.5;см;см;см;;0;;10050;0.019079;гр;м3;0;0;0;0;27.6;17.5;39.5;см;см;см;0;;10050;0.019079;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Рождество (0.8"х49) 1/8/1;rozhdestvo__0.8h49__181;СР99103;СР99092;СР99103;VH080-49-01;796;0.048;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Ромашка (0,7х8) 1/24/4;romashka__07h8__1244;СР99557;Т376;СР99557;12011;796;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Ромео и Джульета (1,25"х150) 1/1/1;romeo_i_dzhuleta__125h150__111;СР8841;Р8632;СР8841;А7644---;796;0.0578;0;0;150;1.25;95;Легенда;4650099541869;0;30;Батарея салютов Ромео и Джульетта;Золотые и серебряные мерцающие ивы. Хризантемные ивы, переходящие в мерцание тысячи золотых трещащих хризантем.;1;0;1;1;штука;упаковка;1;коробка;штука;штука;20.7;0.06;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Ромео и Джульета (1,25"х150) 1/1/1;romeo_i_dzhuleta__125h150__111;СР99684;СР99676;СР99684;А7644;796;0.059;0;0;150;1.25;95;Легенда;4650099541869;9999;30;Батарея салютов Ромео и Джульетта;Золотые и серебряные мерцающие ивы. Хризантемные ивы, переходящие в мерцание тысячи золотых трещащих хризантем.;0;0;1;1;штука;упаковка;1;коробка;штука;штука;20.7;0.06;0;1;36;25;54;см;см;см;;0;;20700;0.0486;гр;м3;0;0;0;0;36;25;54;см;см;см;0;;20700;0.0486;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Русалочка (0,8"х20) 1/16/1;rusalochka__08h20__1161;СР8809;Р8632;СР8809;А7024---;796;0.0325;0;0;20;0.8;30;Легенда;4650099541142;0;20;Батарея салютов Русалочка;Красные, зеленые и синие хризантемы, трещащие хризантемы с кокосовым пестиком, золотая трещащая ива;1;0;1;1;штука;упаковка;16;коробка;штука;штука;0.84;0.0019;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Русалочка (0,8"х20) 1/16/1;rusalochka__08h20__1161;СР99779;СР99676;СР99779;А7024;796;0.031;0;0;20;0.8;30;Легенда;4650099541142;750;20;Батарея салютов Русалочка;Красные, зеленые и синие хризантемы, трещащие хризантемы с кокосовым пестиком, золотая трещащая ива;0;0;1;1;штука;упаковка;16;коробка;штука;штука;0.84;0.0019;0;1;10.2;12.5;12.5;см;см;см;;0;;840;0.001594;гр;м3;0;0;0;0;10.2;12.5;12.5;см;см;см;0;;840;0.001594;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Русские петарды "Корсар 16+" 1/100/3;russkie_petardy_korsar_16_11003;СР99051;Р8467;СР99051;С958;796;0.087;0;0;1;0;0;Авангард;0;0;0;Русские петарды "Корсар 16+";;0;0;0;0;;;0;;;;0.01;0.0009;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С любовью (1,25"х25) 1/4/1;s_ljubovju__125h25__141;В8199;Р8632;В8199;А7303---;796;0.046;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С наступающим (1,25"х19) 1/8/1 (мягкая упаковка);s_nastupajuschim__125h19__181__mjagkaja_upakovka_;СР99756;СР99676;СР99756;А7201;796;0.0704;0;0;19;1.25;38;Легенда;4650099541418;1380;30;Батарея салютов С наступающим!;Красные звезды раскрываются сине-красными пионами с треском, синие звезды раскрываются золотыми коронами в серебряных мерцающих пионах, зеленые звезды раскрываются пурпурно-желто-зелеными пионами с серебряным треском, в финале одновременный залп красных звезд раскрывается золотыми трещащми кокосами с красными жемчужинами.;0;0;1;1;штука;упаковка;8;коробка;штука;штука;2.25;0.007;0;1;8.4;22.1;8.4;см;см;см;;0;;2250;0.001559;гр;м3;0;0;0;0;8.4;22.1;8.4;см;см;см;0;;2250;0.001559;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С наступающим (1,25"х19)1/8/1 (мягкая упаковка);s_nastupajuschim__125h19_181__mjagkaja_upakovka_;СР97184;Р8632;СР97184;А7201---;796;0.0768;0;0;19;1.25;38;Легенда;4650099541418;0;30;Батарея салютов С наступающим!;Красные звезды раскрываются сине-красными пионами с треском, синие звезды раскрываются золотыми коронами в серебряных мерцающих пионах, зеленые звезды раскрываются пурпурно-желто-зелеными пионами с серебряным треском, в финале одновременный залп красных звезд раскрывается золотыми трещащми кокосами с красными жемчужинами.;1;0;1;1;штука;упаковка;8;коробка;штука;штука;2.25;0.007;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С новым годом 40 1/36/12;s_novym_godom_40_13612;СР97690;СР8643;СР97690;А5025---;796;0.0558;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С новым годом 40 1/36/12;s_novym_godom_40_13612;СР99809;СР99807;СР99809;А5025;796;0.0558;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С новым годом 60 1/40/6;s_novym_godom_60_1406;СР97689;СР8643;СР97689;А5024---;796;0.0405;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С Новым годом! (1,25"х49) 1/2/1;s_novym_godom__125h49__121;182068*2;Р8632;182068*2;А7504---;796;0.04;0;0;49;1.25;50;Легенда;4650099541708;0;30;Батарея салютов С Новым годом!;Зеленые звезды раскрываются красными кокосами, красные звезды раскрываются зелеными пионами и серебряными мерцающими ивами, зеленые звезды раскрываются красными пионами, в финале одновременный залп серебряных комет раскрывается серебряными кокосами с красным мерцанием, переходящими в эффект тысячи трещащих хризантем.;1;0;1;1;штука;упаковка;2;коробка;штука;штука;6.75;0.02;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С Новым годом! (1,25"х49) 1/2/1;s_novym_godom__125h49__121;СР99714;СР99676;СР99714;А7504;796;0.042;0;0;49;1.25;50;Легенда;4650099541708;4900;30;Батарея салютов С Новым годом!;Зеленые звезды раскрываются красными кокосами, красные звезды раскрываются зелеными пионами и серебряными мерцающими ивами, зеленые звезды раскрываются красными пионами, в финале одновременный залп серебряных комет раскрывается серебряными кокосами с красным мерцанием, переходящими в эффект тысячи трещащих хризантем.;0;0;1;1;штука;упаковка;2;коробка;штука;штука;6.75;0.02;0;1;25.2;25;25.2;см;см;см;;0;;6750;0.015876;гр;м3;0;0;0;0;25.2;25;25.2;см;см;см;0;;6750;0.015876;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С Новым годом! 10 (0,4"х10) 1/80/12;s_novym_godom_10__04h10__18012;182047;СР8643;182047;А5028---;796;0.044;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С Новым годом! 20 (0,4"х20) 1/48/12;s_novym_godom_20__04h20__14812;СР8645;СР8643;СР8645;А5027---;796;0.042;0;0;20;0.4;30;Легенда;4650099540794;0;7;Римская свеча С Новым годом! 20;Красные и зеленые звезды взлетают со шлейфом золотых искр.;1;0;1;12;штука;упаковка;48;коробка;упаковка;штука;0.44;0.0009;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С Новым годом! 20 (0,4"х20) 1/48/12;s_novym_godom_20__04h20__14812;СР99811;СР99807;СР99811;А5027;796;0.044;0;0;20;0.4;30;Легенда;4650099540794;264;7;Римская свеча С Новым годом! 20;Красные и зеленые звезды взлетают со шлейфом золотых искр.;0;0;1;12;штука;упаковка;48;коробка;упаковка;упаковка;0.44;0.0009;0;1;7.5;0;45;см;0;см;;2;см;347;0.000675;гр;м3;0;0;0;0;0;7.5;45;;см;см;2;см;347;0.000675;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;С Новым годом! 30 (0,4"х30)  1/36/12;s_novym_godom_30__04h30___13612;СР99810;СР99807;СР99810;А5026;796;0.04;0;0;30;0.4;40;Легенда;4650099540770;384;7;Римская свеча С Новым годом! 30;Красные и зеленые звезды взлетают со шлейфом золотых искр.;0;0;1;12;штука;упаковка;36;коробка;упаковка;упаковка;0.48;0.0011;0;1;7.5;0;55;см;0;см;;2;см;444;0.000825;гр;м3;0;0;0;0;0;7.5;55;;см;см;2;см;444;0.000825;;м3;0;;0;0;
