STORE_ID;OFFER_ID;QUANTITY
00001;ба96967;0
00001;ба96972;0
00001;ба96976;0
00001;ба96966;0
00001;ба96979;0
00001;ба96545;0
00001;ба99698;38
00006;ба99698;22
00001;Т0335;0
00001;ба99671;91
00006;ба99671;92
00001;ба99659;611
00006;ба99659;1818
00001;ба8838;0
00001;ба99691;10
00006;ба99691;2
00001;ба9067;0
00001;04208;0
00001;ба9572;0
00001;ба99528;0
00001;ба99728;3
00006;ба99728;0
00001;ба99108;0
00001;ба9577;0
00001;ба9546;0
00001;ба8652;0
00001;182064**;0
00001;ба9250;0
00001;ба9251;0
00001;ба9270;0
00001;ба9282;0
00001;ба9266;0
00001;ба9271;0
00001;ба9284;0
00001;ба9281;0
00001;ба9264;0
00001;ба9261;0
00001;Т8159;0
00001;174267;0
00001;ба96365;0
00001;182057;0
00001;743;51
00006;743;87
00001;ба9226;0
00001;ба9216;0
00001;Т8104;0
00001;ба8786;0
00001;в105646;122
00006;в105646;0
00001;ба99817;8103
00006;ба99817;10078
00001;ба9196;0
00001;182054;0
00001;Т8188;0
00001;ба9562;0
00001;ба99766;503
00006;ба99766;2304
00001;CP99120;0
00001;ба99105;0
00001;Т4265;0
00001;Т8134;0
00001;ба99816;943
00006;ба99816;2064
00001;ба9201;0
00001;ба99537;0
00001;Т8179;0
00001;ба99104;0
00001;ба9227;0
00001;в7622;71
00006;в7622;28
00001;Т8115;0
00001;ба9415;0
00001;Т8601;0
00001;ба8818;0
00001;ба9181;0
00001;ба99716;9564
00006;ба99716;42045
00001;ба8797;0
00001;в7519;64
00006;в7519;42
00001;744;18
00006;744;9
00001;Т0343;0
00001;в351;196
00006;в351;1160
00001;ба99529;0
00001;8099;0
00001;0001092;0
00001;ба97691;0
00001;ба99703;41820
00006;ба99703;6000
00001;Т8615;0
00001;Т8658;0
00001;в359;237
00006;в359;708
00001;ба9206;0
00001;ба99556;0
00001;182070**;0
00001;ба99580;0
00001;ба9198;0
00001;ба9610;0
00001;ба99162;0
00001;ба99558;0
