IBLOCK_XML_ID;XML_ID;NAME
09B2D884-DC9B-46A1-A123-A124E209B09E;796;шт
09B2D884-DC9B-46A1-A123-A124E209B09E;778;упак
09B2D884-DC9B-46A1-A123-A124E209B09E;006;м
09B2D884-DC9B-46A1-A123-A124E209B09E;111;бл
