IBLOCK_ID;NAME;CODE;XML_ID;SECTION_XML_ID;SORT;ARTICLE;BASE_UNIT;OBEMJASCHIKA;VODNOMMESTE;MESTSHTUK;KOLICHESTVOZALPOV;KALIBR;VREMJARABOTY;BREND;SHTRIHKODSAJT;KOLVOOPT;VYSOTAPOLETA;POLNNAIMENOVANIESAJT;DETAIL_TEXT;RASPRODAZHA;NOVINKA;KOLICHESTVOVPERVOMRAZRJADE;KOLICHESTVOVOVTOROMRAZRJADE;NAIMENOVANIEPERVOGORAZRJADA;NAIMENOVANIEVTOROGORAZRJADA;KOLICHESTVOVTRETEMRAZRJADE;NAIMENOVANIETRETEGORAZRJADA;MINIMALNAJATORGEDINICAVOPTENAIMENOVANIE;MINIMALNAJATORGEDINICAVROZNICENAIMENOVANIE;VESMINTORG;OBEMMINTORG;HITPRODAZH;NEOTOBRAZHATNASAJTE;SHIRINASAJTROZNICA;VYSOTASAJTROZNICA;DLINASAJTROZNICA;SHIRINASAJTROZNICANAIMENOVANIE;VYSOTASAJTROZNICANAIMENOVANIE;DLINASAJTROZNICANAIMENOVANIE;DIAMETRSAJTROZNICANAIMENOVANIE;TOLSCHINASAJTROZNICA;TOLSCHINASAJTROZNICANAIMENOVANIE;ROZNICHNYJVES;ROZNICHNYJOBEM;NAIMENOVANIEVES;NAIMENOVANIEOBEM;DIAMETRSAJTROZNICA;ROZNICAAKCIJA;NOVINKIROZNICA;HITYPRODAZHROZNICA;SHIRINASAJTOPT;VYSOTASAJTOPT;DLINASAJTOPT;SHIRINASAJTOPTNAIMENOVANIE;VYSOTASAJTOPTNAIMENOVANIE;DLINASAJTOPTNAIMENOVANIE;TOLSCHINASAJTOPT;TOLSCHINASAJTOPTNAIMENOVANIE;OPTVES;OPTOBEM;NAIMENOVANIEVESOPT;NAIMENOVANIEOBEMOPT;DIAMETRSAJTOPT;DIAMETRSAJTOPTNAIMENOVANIE;PROCENTSKIDKI;PROF
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 1 24/60/10;korsar_1_246010;СР99039;СР8860;СР99039;Л1100;796;0.026;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 1 24/60/10;korsar_1_246010;СР99682;СР99675;СР99682;А1100;796;0.0324;0;0;10;0;0;Легенда;4650099540091;10;0;Петарды корсар 1;Хлопок.;0;0;10;60;упаковка;блок;24;коробка;блок;упаковка;0.54;0.0014;1;1;0;3;4;;см;см;;1;см;7;0.000012;гр;м3;0;0;0;0;11.5;6;15;см;см;см;0;;420;0.001035;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 1 45/48/10;korsar_1_454810;СР8799;СР8798;СР8799;А1100*---;796;0.046;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 1 с эффектом 25/30/20;korsar_1_s_jeffektom_253020;СР9585;СР8798;СР9585;А1111---;796;0.047;0;0;0;0;0;Легенда;4650099540138;0;0;Корсар 1 с эффектом;Вращение, пламя и хлопок;1;0;20;30;упаковка;блок;25;коробка;блок;упаковка;0.54;0.0014;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 1 с эффектом 25/30/20;korsar_1_s_jeffektom_253020;СР99687;СР99675;СР99687;А1111;796;0.034;0;0;20;0;0;Легенда;4650099540138;20;0;Корсар 1 с эффектом;Вращение, пламя и хлопок;0;0;20;30;упаковка;блок;25;коробка;блок;упаковка;0.54;0.0014;0;1;0;4;5.5;;см;см;;1;см;15;0.000022;гр;м3;0;0;0;0;6;7;25;см;см;см;0;;450;0.000705;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 2  25/15/20;korsar_2__251520;СР8801;СР8798;СР8801;А1120*---;796;0.038;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 2 2 хлопка  12/30/20;korsar_2_2_hlopka__123020;СР99577;СР8860;СР99577;К0201В;796;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 2 3 хлопка  12/30/20;korsar_2_3_hlopka__123020;СР99578;СР8860;СР99578;К0201Д;796;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 2 50/10/20;korsar_2_501020;СР9588;СР8798;СР9588;А1120---;796;0.049;0;0;0;0;0;Легенда;4650099540152;0;0;Корсар 2;Хлопок.;1;0;20;10;упаковка;блок;50;коробка;блок;упаковка;0.52;0.0009;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 2 50/10/20;korsar_2_501020;СР99689;СР99675;СР99689;А1120;796;0.046;250;0;20;0;0;Легенда;4650099540152;20;0;Петарды корсар 2;Хлопок.;0;0;20;10;упаковка;блок;50;коробка;блок;упаковка;0.52;0.0009;1;1;0;5;7.6;;см;см;;1.5;см;43;0.000057;гр;м3;0;0;0;0;8.5;3.5;26;см;см;см;0;;430;0.000774;;м3;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 3 2 хлопка  25/10/20;korsar_3_2_hlopka__251020;СР99579;СР8860;СР99579;К0301А;796;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;;;;0;0;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
B658816D-ECD0-44A2-AC83-AFB566EEA983;Корсар 3 25/10/20;korsar_3_251020;СР8802;СР8798;СР8802;А1130---;796;0.034;0;0;0;0;0;Легенда;4650099540176;0;0;Корсар 3;Хлопок.;1;0;20;10;упаковка;блок;25;коробка;блок;упаковка;0.8;0.0013;0;0;0;0;0;;;;;0;;0;0;;;0;0;0;0;0;0;0;;;;0;;0;0;;;0;;0;0;
